"Language","original","english","czech","german","russian","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"mck_name_carkey","Vehicle Key","Vehicle Key","Vehicle Key","Autoschlüssel","Ключи от машины","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key",
"mck_description_carkey","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Ein Schlüssel, der einem Auto zugeordnet werden kann. Du kannst diesen Schlüssel bei einem Grinder nachmachen lassen.","Ключ, который можно присвоить автомобилю. Вы можете дублировать этот ключ на точильном станке.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.",
"mck_name_carkeytag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Autoschlüsselanhänger","Брелок","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag",
"mck_description_carkeytag","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","Dieser Anhänger kann an einem Autoschlüssel befestigt werden","Брелок можно прикрепить к ключу от машины.","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key",
"mck_name_masterkey","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Generalschlüssel (Auto)","Мастер ключ","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key",
"mck_description_masterkey","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Nur Admins sollten dies haben. Kann jedes Auto verschließen und öffnen","Только для Администраторов. Запирает и открывает любую машину.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.",
"mck_name_resetkey","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Schlüssel um Autos zurückzusetzen","Ключ для Сброса","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key",
"mck_description_resetkey","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Nur Admins sollten dies haben. Setzt die IDs von Autos zurück","Только для Администраторов. Сбрасывает идентификаторы автомобилей.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.",
"mck_name_infokey","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Schlüssel für Auto-Infos","Ключ для Идентификации","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key",
"mck_description_infokey","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Nur Admins sollten dies haben. Bekomme die IDs von Fahrzeugen","Только для Администраторов. Получает информацию об  автомобиле.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.",
"mck_action_assign","Assign new key","Assign new key","Assign new key","Neuen Schlüssel zuweisen","Назначить новый ключ","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key",
"mck_action_craft","Craft vehicle key","Craft vehicle key","Craft vehicle key","Autoschlüssel herstellen","Создать ключ от машины","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key",
"mck_action_duplicate","Duplicate key","Duplicate key","Duplicate key","Schlüssel nachmachen","Создать дубликат ключа","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key",
"mck_action_getinfo","Get Info","Get Info","Get Info","Infos bekommen","Получить данные","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info",
"mck_action_raid","Pick Lock","Pick Lock","Pick Lock","Schloss knacken","Взлом замка","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock",
"mck_action_resetkey","Reset key","Reset key","Reset key","Schlüssel zurücksetzen","Сбросить ключ","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key",
"mck_action_lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock",
"mck_name_keypouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch",
"mck_description_keypouch","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.",
"mck_action_duplicate_error","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate."